,numer_sta,date,dd,ff,t,ww,rr3,rr6,rr12,rr24,hour,DATE,ff_X,ff_Y,ff_weekly,ff24,rr_weekly,rr_monthly
1856,7650,20181107120000,120,8.3,289.15,0,0.2,0.4,0.4,0.6,120000,2018-11-07,-4.149999999999999,7.1880108514108425,70.27660216809204,26.324255988981278,56.50000000000001,217.4
1857,7650,20181108120000,180,4.2,292.35,0,0.0,0.0,2.8,4.6,120000,2018-11-08,-4.2,5.143516556418884e-16,67.29741708322936,25.013227021669486,37.0,208.9
1858,7650,20181109120000,90,5.0,291.25,0,0.8,0.8,0.8,0.8,120000,2018-11-09,3.061616997868383e-16,5.0,58.47790463865552,22.891389608699807,30.9,188.10000000000002
1859,7650,20181110120000,150,6.5,291.15,0,0.0,0.0,0.2,8.1,120000,2018-11-10,-5.629165124598852,3.2499999999999996,45.46949736180217,30.12077831917296,37.6,146.0
1860,7650,20181111120000,130,8.3,292.15,0,0.0,0.0,-0.1,-0.1,120000,2018-11-11,-5.3351371603982765,6.358168877887519,40.5157425018303,38.96593504764575,37.5,145.9
1861,7650,20181112120000,150,10.2,293.35,0,0.0,0.0,-0.1,-0.1,120000,2018-11-12,-8.833459118601274,5.099999999999999,23.248028193511566,50.26096081892165,37.5,145.8
1862,7650,20181113120000,160,2.7,294.75,0,0.0,0.0,0.0,0.0,120000,2018-11-13,-2.5371700761219524,0.923454386979306,19.490104527485308,47.7837551444706,13.9,145.8
1863,7650,20181114120000,140,4.0,294.45,0,0.0,0.0,0.0,-0.1,120000,2018-11-14,-3.0641777724759116,2.571150438746158,20.213301610767253,45.41588005518063,13.2,145.5
1864,7650,20181115120000,260,3.6,292.35,0,0.0,0.0,0.2,0.2,120000,2018-11-15,-0.6251334396009492,-3.545307910843949,25.642378844756703,36.05441453811921,8.8,135.70000000000002
1865,7650,20181116120000,290,1.4,290.55,0,0.0,0.0,0.2,0.2,120000,2018-11-16,0.47882820065593545,-1.3155696691002718,22.58912709124144,31.44826473647896,8.2,132.9
1866,7650,20181117120000,50,3.8,285.65,0,0.8,1.6,1.8,2.2,120000,2018-11-17,2.4425929168088496,2.9109688838521164,16.531236450347382,28.24705268958403,2.3000000000000003,129.20000000000002
1867,7650,20181118120000,250,4.2,287.95,0,0.0,0.0,0.0,-0.1,120000,2018-11-18,-1.4364846019678112,-3.9467090073008144,18.59611003693296,20.966816546523315,2.3000000000000003,129.1
1868,7650,20181119120000,260,1.1,285.45,0,0.0,0.0,0.0,0.0,120000,2018-11-19,-0.19101299543362338,-1.0832885283134288,23.917460771920695,13.860392219394377,2.4000000000000004,129.1
1869,7650,20181120120000,110,2.9,283.15,0,2.4,2.6,2.6,2.6,120000,2018-11-20,-0.9918584156444392,2.7251086002791345,24.264937573404378,5.9729892198524706,5.0,131.5
